Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:  105 ||Obj.:  0.005266 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  106 ||Obj.:  0.005263 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  107 ||Obj.:  0.005258 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:  108 ||Obj.:  0.005255 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  109 ||Obj.:  0.005252 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  110 ||Obj.:  0.005249 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  111 ||Obj.:  0.005247 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  112 ||Obj.:  0.005244 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  113 ||Obj.:  0.005241 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  114 ||Obj.:  0.005238 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  115 ||Obj.:  0.005235 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  116 ||Obj.:  0.005232 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  117 ||Obj.:  0.005230 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  118 ||Obj.:  0.005228 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  119 ||Obj.:  0.005226 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  120 ||Obj.:  0.005224 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  121 ||Obj.:  0.005222 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  122 ||Obj.:  0.005221 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  123 ||Obj.:  0.005219 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  124 ||Obj.:  0.005218 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
